Model,RMSE,MAE,MAPE
Holt-Winters,16.979896228464945,13.380419102293487,2.8028161648719268
SARIMA,21.194952731593236,16.323101906105776,3.6795220089772207
ARIMA_alt,55.222839020993725,41.83479814255908,8.220491117444197
Naive,55.396914912458634,48.27272727272727,10.053668316012931
Linear Trend,78.82273053909198,58.65786009669094,11.385005406454725
Exponential Trend,79.3667265250702,69.71595376933304,15.21293241516705
ARIMA,86.81013004313245,67.38900340781497,13.407128940322451
Moving Avg,88.47315977176355,63.88888888888889,12.055750606375332
Holt,93.53383958542747,67.20022117879093,12.58742688858975
SES,103.12445366139319,76.14257862669035,14.279017396066331
LSTM,140.67423657474794,118.31632155179977,23.092016844845357
Average,226.26567149657532,213.6742424242425,43.62152220711003
